0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
5	0.21	0.59	0.79	0.88	1.34	0.00	0.13	0.29	0.68	1.34	1.00	1.09	1.15	1.25	1.32
10	0.32	0.52	0.65	0.78	1.69	0.29	0.95	1.56	2.07	3.18	1.16	1.24	1.33	1.39	1.46
15	0.08	0.25	0.30	0.43	0.60	0.40	1.88	3.20	3.87	7.02	1.21	1.38	1.43	1.47	1.53
20	0.05	0.12	0.17	0.31	1.21	1.98	3.36	4.69	6.69	8.64	1.38	1.46	1.48	1.55	1.63
25	0.00	0.08	0.09	0.21	0.37	2.30	4.95	6.59	8.04	8.65	1.40	1.45	1.50	1.57	1.64
30	0.00	0.00	0.09	0.17	0.34	3.30	5.41	6.42	8.63	9.00	1.40	1.49	1.57	1.63	2.00
35	0.00	0.01	0.10	0.17	0.32	3.57	5.74	7.41	8.39	9.00	1.40	1.47	1.56	1.63	2.00
40	0.00	0.17	0.17	0.17	0.33	4.82	7.24	8.26	8.29	9.00	1.40	1.54	1.57	1.58	2.00
45	0.00	0.08	0.15	0.15	0.31	3.87	7.50	8.28	8.39	8.96	1.40	1.57	1.57	1.63	2.00
50	0.00	0.00	0.00	0.08	0.39	4.12	7.85	8.93	8.96	9.00	1.40	1.57	1.81	2.00	2.00
55	0.00	0.06	0.10	0.10	0.42	3.78	7.82	8.61	8.61	9.00	1.40	1.55	1.70	1.70	2.00
60	0.00	0.00	0.01	0.09	0.34	3.39	7.77	8.62	8.96	9.00	1.40	1.57	1.70	2.00	2.00
65	0.00	0.00	0.00	0.00	0.08	4.30	4.35	8.96	8.96	9.00	1.40	1.40	2.00	2.00	2.00
70	0.00	0.00	0.00	0.00	0.17	6.30	8.96	8.96	8.96	9.00	1.40	2.00	2.00	2.00	2.00
75	0.00	0.00	0.00	0.00	0.08	6.76	7.35	8.96	8.96	9.00	1.40	1.40	2.00	2.00	2.00
80	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.96	9.00	2.00	2.00	2.00	2.00	2.00
85	0.00	0.08	0.08	0.08	0.17	6.49	8.62	8.62	8.66	9.00	1.57	1.70	1.70	1.70	2.00
90	0.00	0.00	0.00	0.00	0.00	8.96	9.00	9.00	9.00	9.00	1.80	2.00	2.00	2.00	2.00
95	0.00	0.00	0.00	0.00	0.17	5.58	8.96	8.96	8.96	9.00	1.57	2.00	2.00	2.00	2.00
100	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.96	9.00	2.00	2.00	2.00	2.00	2.00
