0	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.96	8.98	9.00	2.00	2.00	2.00	2.00	2.00
5	0.38	0.60	0.73	0.87	1.31	5.28	6.85	7.49	7.69	8.11	1.72	1.93	2.02	2.16	2.29
10	0.29	0.42	0.55	0.69	1.18	5.94	6.98	7.47	7.67	7.93	1.90	2.18	2.28	2.40	2.61
15	0.18	0.37	0.44	0.60	0.86	5.55	6.89	7.40	7.58	7.93	2.17	2.32	2.50	2.58	2.87
20	0.11	0.27	0.37	0.47	0.85	5.59	6.85	7.49	7.83	8.05	2.28	2.46	2.57	2.68	3.00
25	0.09	0.26	0.33	0.42	0.56	6.40	7.05	7.48	7.73	8.23	2.29	2.43	2.54	2.66	3.17
30	0.04	0.20	0.33	0.43	0.87	5.68	7.02	7.27	7.74	8.44	2.17	2.48	2.61	2.76	3.17
35	0.09	0.18	0.23	0.40	0.57	5.71	7.01	7.40	7.81	8.42	2.35	2.56	2.72	2.84	3.10
40	0.04	0.17	0.24	0.40	0.59	6.17	6.90	7.35	7.75	8.46	2.33	2.60	2.70	2.85	3.09
45	0.00	0.13	0.22	0.32	0.68	5.60	6.91	7.48	7.82	8.59	2.40	2.62	2.73	2.97	3.50
50	0.04	0.10	0.21	0.40	1.00	6.15	6.98	7.24	7.78	8.75	2.21	2.59	2.75	2.89	3.32
55	0.00	0.17	0.26	0.36	0.69	6.37	6.91	7.43	7.71	8.44	2.15	2.79	2.89	3.14	3.39
60	0.00	0.04	0.16	0.35	0.78	6.75	7.34	7.57	8.17	9.00	2.43	2.66	2.83	3.08	4.00
65	0.00	0.08	0.17	0.27	0.65	6.24	7.19	7.66	8.01	9.00	2.45	2.70	2.92	3.22	4.00
70	0.00	0.08	0.17	0.30	0.55	6.85	7.39	7.82	8.23	8.96	2.35	2.67	3.10	3.23	3.63
75	0.00	0.14	0.23	0.29	0.48	6.26	7.21	7.69	8.26	9.00	2.37	2.84	2.94	3.13	4.00
80	0.00	0.00	0.08	0.21	0.65	6.68	7.80	8.32	8.55	9.00	2.24	2.94	3.21	3.50	4.00
85	0.00	0.15	0.21	0.28	0.65	6.00	7.07	7.50	8.50	8.98	2.29	2.86	3.12	3.32	4.00
90	0.00	0.00	0.08	0.17	0.40	6.87	7.47	8.46	8.94	8.98	2.69	3.02	3.50	4.00	4.00
95	0.00	0.00	0.00	0.08	0.21	6.79	8.14	8.94	8.96	9.00	2.54	3.45	4.00	4.00	4.00
100	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	9.00	4.00	4.00	4.00	4.00	4.00
