0	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.96	8.96	9.00	2.00	2.00	2.00	2.00	2.00
5	0.44	0.78	0.90	1.11	1.44	5.21	6.32	6.70	7.00	7.86	2.06	2.26	2.34	2.43	2.65
10	0.10	0.27	0.36	0.42	0.74	7.17	7.76	7.95	8.28	8.77	2.45	2.97	3.09	3.17	3.39
15	0.00	0.00	0.00	0.08	0.28	6.71	8.75	8.94	8.96	9.00	3.09	3.50	4.00	4.00	4.00
20	0.00	0.00	0.00	0.00	0.08	8.76	8.94	8.94	8.96	9.00	3.50	4.00	4.00	4.00	4.00
25	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	9.00	4.00	4.00	4.00	4.00	4.00
30	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	9.00	3.25	4.00	4.00	4.00	4.00
35	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	9.00	4.00	4.00	4.00	4.00	4.00
40	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	8.98	4.00	4.00	4.00	4.00	4.00
45	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	8.98	4.00	4.00	4.00	4.00	4.00
50	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.96	8.96	8.98	4.00	4.00	4.00	4.00	4.00
55	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.98	9.00	4.00	4.00	4.00	4.00	4.00
60	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.98	9.00	4.00	4.00	4.00	4.00	4.00
65	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.96	9.00	4.00	4.00	4.00	4.00	4.00
70	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.98	9.00	4.00	4.00	4.00	4.00	4.00
75	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.98	9.00	4.00	4.00	4.00	4.00	4.00
80	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.98	9.00	4.00	4.00	4.00	4.00	4.00
85	0.00	0.00	0.00	0.00	0.00	8.96	8.96	8.96	8.96	9.00	4.00	4.00	4.00	4.00	4.00
90	0.00	0.00	0.00	0.00	0.00	8.93	8.94	8.95	8.96	8.98	4.00	4.00	4.00	4.00	4.00
95	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	9.00	3.50	4.00	4.00	4.00	4.00
100	0.00	0.00	0.00	0.00	0.00	8.94	8.94	8.94	8.96	8.98	3.50	4.00	4.00	4.00	4.00

