0										1.00E+000	9.08E-001	9.09E+000
5										6.88E-001	6.63E-001	6.22E+000
10										6.59E-001	6.16E-001	5.98E+000
15										6.53E-001	6.06E-001	5.92E+000
20										6.50E-001	6.00E-001	5.90E+000
25										6.58E-001	6.07E-001	5.98E+000
30										6.88E-001	6.34E-001	6.24E+000
35										7.21E-001	6.61E-001	6.55E+000
40										7.72E-001	7.06E-001	7.01E+000
45										8.21E-001	7.45E-001	7.46E+000
50										8.44E-001	7.79E-001	7.66E+000
55										9.11E-001	8.21E-001	8.29E+000
60										9.20E-001	8.42E-001	8.35E+000
65										9.48E-001	8.68E-001	8.61E+000
70										9.75E-001	8.85E-001	8.87E+000
75										9.71E-001	8.87E-001	8.82E+000
80										9.95E-001	9.05E-001	9.04E+000
85										1.00E+000	9.08E-001	9.09E+000
90										1.00E+000	9.08E-001	9.09E+000
95										1.00E+000	9.08E-001	9.09E+000
100										1.00E+000	9.08E-001	9.09E+000

